SURVEY_START_TIME,SURVEY_END_TIME,DEVICE_ID,LOCATION,_LOCATION_latitude,_LOCATION_longitude,_LOCATION_altitude,_LOCATION_precision,VILLAGE_NAME,ALT_VILLAGE_NAME,NUMBER_OF_HOUSEHOLDS,DISTRICT,CHIEFDOM,WARD,CONSTITUENCY,NEAREST_HC_LOCATION,NEAREST_HC_TYPE,meta/instanceID,_uuid,_submission_time
,,3.53323E+14,8.6973638 -11.88304528 132.8000030517578 9.0,8.6973638,-11.88304528,132.8000031,9,Yemeri,Yemeri,150,Tonkolili,Kholifa Rowala,204,59,Mabai Junction,primary,,,
,,3.53323E+14,8.73536979 -11.85684062 132.39999389648438 4.0,8.73536979,-11.85684062,132.3999939,4,Maberi,Maberi,43,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,,,
,,3.53323E+14,8.73309912 -11.87629809 134.39999389648438 4.0,8.73309912,-11.87629809,134.3999939,4,Lumgba,Lumgba,96,Tonkolili,Kholifa Rowala,203,59,Mabai,secondary,,,
,,3.53323E+14,,8.70321544,-11.88501551,131.8000031,7,Bundima,Bundima,28,Tonkolili,Kholifa Rowala,202,59,Mabai Junction,primary,,,
,,3.53323E+14,,8.68602113,-11.91371084,132.1000061,4,Makill,Makill 1. (one),24,Tonkolili,Kholifa Rowala,204,59,Mabai,primary,,,
2015-01-12T10:55:42.521Z,2015-01-12T11:46:55.126Z,3.53313E+14,8.74761176 -11.84070686 151.39999389648438 5.0,8.74761176,-11.84070686,151.3999939,5,Masanga,n/a,228,Tonkolili,Kholifa Rowala,203,59,Massanga,secondary,uuid:29ca4c59-d2af-42b8-89ba-bb216111ac26,29ca4c59-d2af-42b8-89ba-bb216111ac26,2015-01-12T12:41:33
2015-01-12T10:34:29.227Z,2015-01-12T10:47:15.717Z,3.53313E+14,8.75581481 -11.84873761 135.3000030517578 8.0,8.75581481,-11.84873761,135.3000031,8,Rogbom,n/a,25,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:2ec7471f-fed2-45ba-9769-81828569d3ef,2ec7471f-fed2-45ba-9769-81828569d3ef,2015-01-12T12:41:33
2015-01-12T09:52:40.420Z,2015-01-12T11:51:28.931Z,3.58697E+14,8.72271638 -11.8562355 132.0 4.0,8.72271638,-11.8562355,132,4,Rosint,Rosint Kholifa,126,Tonkolili,Kholifa Rowala,203,59,Mabai Junction,primary,uuid:149f4ebc-8e9f-43a0-85df-0e9e27b168b0,149f4ebc-8e9f-43a0-85df-0e9e27b168b0,2015-01-12T12:42:04
2015-01-12T10:13:32.807Z,2015-01-12T11:54:14.948Z,3.58697E+14,8.70914982 -11.8719046 128.60000610351563 3.0,8.70914982,-11.8719046,128.6000061,3,Mamallah,Mamallah,22,Tonkolili,Kholifa Rowala,203,59,Mabai Junction,primary,uuid:90773aa1-3a3c-4247-b541-5ae84d6eaf78,90773aa1-3a3c-4247-b541-5ae84d6eaf78,2015-01-12T12:42:05
2015-01-12T10:26:53.402Z,2015-01-12T11:54:50.690Z,3.58697E+14,8.70304731 -11.8702044 132.60000610351563 5.0,8.70304731,-11.8702044,132.6000061,5,Mayata,Upper Mayata,85,Tonkolili,Kholifa Rowala,203,59,Mabai Junction,primary,uuid:9fe14568-620d-4cf8-bf2d-6138692abf0b,9fe14568-620d-4cf8-bf2d-6138692abf0b,2015-01-12T12:42:05
2015-01-12T11:01:39.209Z,2015-01-12T12:02:21.415Z,3.58697E+14,8.67676659 -11.88107399 126.80000305175781 6.0,8.67676659,-11.88107399,126.8000031,6,Mabecthe,Mabecthe,80,Tonkolili,Kholifa Rowala,204,59,Mabai Junction,primary,uuid:7456b3d7-a1db-4e85-9569-227ab69e288a,7456b3d7-a1db-4e85-9569-227ab69e288a,2015-01-12T12:42:06
2015-01-12T10:43:41.124Z,2015-01-12T12:00:09.526Z,3.58697E+14,8.68926911 -11.87224416 132.1999969482422 8.0,8.68926911,-11.87224416,132.1999969,8,Maberi,Maberi Nonkoh,250,Tonkolili,Kholifa Rowala,204,59,Mabai Junction,primary,uuid:18a1097f-8150-4906-b4f3-78cda89c4c44,18a1097f-8150-4906-b4f3-78cda89c4c44,2015-01-12T12:42:06
2015-01-12T11:33:45.890Z,2015-01-12T12:02:57.349Z,3.58697E+14,8.67895732 -11.89839773 141.5 6.0,8.67895732,-11.89839773,141.5,6,Mabai,Mabai Junction,81,Tonkolili,Kholifa Rowala,204,59,Mabai Junction,primary,uuid:bb9df778-764c-43d0-9519-bf1831e75888,bb9df778-764c-43d0-9519-bf1831e75888,2015-01-12T12:42:07
2015-01-12T10:08:10.730Z,2015-01-12T11:40:09.775Z,3.52624E+14,8.72565603 -11.86818886 141.6999969482422 5.0,8.72565603,-11.86818886,141.6999969,5,Madibe,n/a,82,Tonkolili,Kholifa Rowala,203,59,Mabia,primary,uuid:12b9d1c6-6f12-493a-9a7c-2c0de5002567,12b9d1c6-6f12-493a-9a7c-2c0de5002567,2015-01-12T12:42:55
2015-01-12T11:06:16.419Z,2015-01-12T11:42:30.754Z,3.52624E+14,8.73608301 -11.92346384 134.39999389648438 8.0,8.73608301,-11.92346384,134.3999939,8,Magbankoh,n/a,30,Tonkolili,Kholifa Rowala,202,59,Magburaka,primary,uuid:0591bb60-57ee-4381-b35e-01db45bccf9f,0591bb60-57ee-4381-b35e-01db45bccf9f,2015-01-12T12:42:55
2015-01-12T09:45:06.711Z,2015-01-12T11:43:23.037Z,3.52624E+14,8.71727802 -11.88358185 107.9000015258789 8.0,8.71727802,-11.88358185,107.9000015,8,Rothatha,n/a,70,Tonkolili,Kholifa Rowala,203,59,Mabia,primary,uuid:85bd660e-1c30-4574-bef0-666c8f0bd4e1,85bd660e-1c30-4574-bef0-666c8f0bd4e1,2015-01-12T12:42:55
2015-01-12T11:20:45.012Z,2015-01-12T11:42:11.263Z,3.52624E+14,8.72675833 -11.9213158 117.4000015258789 6.0,8.72675833,-11.9213158,117.4000015,6,Rowala,n/a,235,Tonkolili,Kholifa Rowala,202,59,Magburaka,primary,uuid:c04ba6eb-d97f-43f3-914a-a70ed6e7cbd7,c04ba6eb-d97f-43f3-914a-a70ed6e7cbd7,2015-01-12T12:42:56
2015-01-12T09:29:52.694Z,2015-01-12T10:20:37.977Z,9.90003E+14,8.73541776 -11.90323195 132.0 6.0,8.73541776,-11.90323195,132,6,Mathora,n/a,169,Tonkolili,Kholifa Rowala,203,59,Government health center magburaka,secondary,uuid:b062cc61-ed62-4e75-b968-44f960110651,b062cc61-ed62-4e75-b968-44f960110651,2015-01-12T12:45:18
